,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp,cumulative_cases,cases_per_day,growth_ratio
114,2019-12-31,31,12,2019,0,0,United_States_of_America,US,USA,327167434.0,America,0,0,0.0
92,2020-01-22,22,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,1,0,0.0
88,2020-01-26,26,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,2,0,0.0
86,2020-01-28,28,1,2020,0,0,United_States_of_America,US,USA,327167434.0,America,5,0,0.0
82,2020-02-01,1,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,7,1,1.0
81,2020-02-02,2,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,8,1,1.0
80,2020-02-03,3,2,2020,3,0,United_States_of_America,US,USA,327167434.0,America,11,3,3.0
79,2020-02-04,4,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,11,0,0.0
76,2020-02-07,7,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,12,0,0.0
71,2020-02-12,12,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,13,0,0.0
69,2020-02-14,14,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,15,1,1.0
68,2020-02-15,15,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,15,0,0.0
60,2020-02-23,23,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,35,0,0.0
57,2020-02-26,26,2,2020,0,0,United_States_of_America,US,USA,327167434.0,America,53,0,0.0
55,2020-02-28,28,2,2020,1,0,United_States_of_America,US,USA,327167434.0,America,60,1,0.16666666666666666
54,2020-02-29,29,2,2020,6,0,United_States_of_America,US,USA,327167434.0,America,66,6,6.0
53,2020-03-01,1,3,2020,3,1,United_States_of_America,US,USA,327167434.0,America,69,3,0.5
52,2020-03-02,2,3,2020,20,1,United_States_of_America,US,USA,327167434.0,America,89,20,6.666666666666667
51,2020-03-03,3,3,2020,14,4,United_States_of_America,US,USA,327167434.0,America,103,14,0.7
50,2020-03-04,4,3,2020,22,3,United_States_of_America,US,USA,327167434.0,America,125,22,1.5714285714285714
49,2020-03-05,5,3,2020,34,2,United_States_of_America,US,USA,327167434.0,America,159,34,1.5454545454545454
48,2020-03-06,6,3,2020,74,1,United_States_of_America,US,USA,327167434.0,America,233,74,2.176470588235294
47,2020-03-07,7,3,2020,105,2,United_States_of_America,US,USA,327167434.0,America,338,105,1.4189189189189189
46,2020-03-08,8,3,2020,95,3,United_States_of_America,US,USA,327167434.0,America,433,95,0.9047619047619048
45,2020-03-09,9,3,2020,121,4,United_States_of_America,US,USA,327167434.0,America,554,121,1.2736842105263158
44,2020-03-10,10,3,2020,200,5,United_States_of_America,US,USA,327167434.0,America,754,200,1.6528925619834711
43,2020-03-11,11,3,2020,271,2,United_States_of_America,US,USA,327167434.0,America,1025,271,1.355
42,2020-03-12,12,3,2020,287,2,United_States_of_America,US,USA,327167434.0,America,1312,287,1.0590405904059041
41,2020-03-13,13,3,2020,351,10,United_States_of_America,US,USA,327167434.0,America,1663,351,1.2229965156794425
